De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.12,Doação (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),062.12,Doação (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.13,Permuta (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),062.13,Permuta (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.21,Registro (Processamento técnico / Gestão de acervos bibliográfico e museológico),062.21,Registro (Processamento técnico / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.22,"Catalogação, classificação e indexação (Processamento técnico / Gestão de acervos bibliográfico e museológico)",062.22,"Catalogação, classificação e indexação (Processamento técnico / Gestão de acervos bibliográfico e museológico)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063.1,Consultas (Controle de acesso e de movimentação de acervos),063.1,Consultas (Controle de acesso e de movimentação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063.2,Empréstimos (Controle de acesso e de movimentação de acervos),063.2,Empréstimos (Controle de acesso e de movimentação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.3,Inventário (Gestão de acervos bibliográfico e museológico),062.3,Inventário (Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061,Gestão de documentos de arquivo,061,Gestão de documentos de arquivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060.01,Normatização. Regulamentação (Gestão da documentação e da informação,060.01,Normatização. Regulamentação (Gestão da documentação e da informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.3,Levantamento da produção e do fluxo documental (Gestão de documentos de arquivo),061.3,Levantamento da produção e do fluxo documental (Gestão de documentos de arquivo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.1,Adoção e controle dos procedimentos de protocolo (Gestão de documentos de arquivo),061.1,Adoção e controle dos procedimentos de protocolo (Gestão de documentos de arquivo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.4,Elaboração dos instrumentos técnicos de gestão de documentos,061.4,Elaboração dos instrumentos técnicos de gestão de documentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.51,Classificação (Aplicação dos instrumentos técnicos de gestão de documentos),061.51,Classificação (Aplicação dos instrumentos técnicos de gestão de documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.52,Avaliação (Aplicação dos instrumentos técnicos de gestão de documentos),061.52,Avaliação (Aplicação dos instrumentos técnicos de gestão de documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.521,Eliminação (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),061.521,Eliminação (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.522,Transferência (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),061.522,Transferência (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061.523,Recolhimento (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),061.523,Recolhimento (Avaliação / Aplicação dos instrumentos técnicos de gestão de documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.12,Doação (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),062.12,Doação (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.13,Permuta (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),062.13,Permuta (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.41,Doação (Desincorporação / Gestão de acervos bibliográfico e museológico),062.41,Doação (Desincorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.42,Descarte (Desincorporação / Gestão de acervos bibliográfico e museológico),062.42,Descarte (Desincorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.31,Microfilmagem (Reformatação / Conservação e preservação de acervos),064.31,Microfilmagem (Reformatação / Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.32,Digitalização (Reformatação / Conservação e preservação de acervos),064.32,Digitalização (Reformatação / Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069.2,Fornecimento de cópias de documentos (Outras ações referentes à gestão da Documentação e da Informação),069.2,Fornecimento de cópias de documentos (Outras ações referentes à gestão da Documentação e da Informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.01,Avaliação e monitoramento (Conservação e preservação de acervos),064.01,Avaliação e monitoramento (Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.1,Desinfestação e higienização (Conservação e preservação de acervos),064.1,Desinfestação e higienização (Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.2,Controle das áreas de armazenamento (Conservação e preservação de acervos),064.2,Controle das áreas de armazenamento (Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064.4,Restauração (Conservação e preservação de acervos),064.4,Restauração (Conservação e preservação de acervos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066,Gestão de tecnologia da informação,066,Gestão de tecnologia da informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.1,Desenvolvimento e controle de sistemas informatizados (Gestão de tecnologia da informação),066.1,Desenvolvimento e controle de sistemas informatizados (Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.31,Projeto de manutenção (Administração da infraestrutura tecnológica/Gestão de tecnologia da informação),066.31,Projeto de manutenção (Administração da infraestrutura tecnológica/Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.41,Instalação e configuração (Administração de banco de dados/Gestão de tecnologia da informação),066.41,Instalação e configuração (Administração de banco de dados/Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.32,Gerenciamento e uso (Administração da infraestrutura tecnológica/Gestão de tecnologia da informação),066.32,Gerenciamento e uso (Administração da infraestrutura tecnológica/Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.41,Instalação e configuração (Administração de banco de dados/Gestão de tecnologia da informação),066.41,Instalação e configuração (Administração de banco de dados/Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.42,Gerenciamento e uso (Administração de banco de dados/Gestão de tecnologia da informação),066.42,Gerenciamento e uso (Administração de banco de dados/Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066.2,Instalação de equipamentos (Gestão de tecnologia da informação),066.2,Instalação de equipamentos (Gestão de tecnologia da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067,Contratação de prestação de serviços,018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069,Outras ações referentes à gestão da documentação e da informação,069,Outras ações referentes à gestão da documentação e da informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,Gestão dos serviços postais e de telecomunicações,070,Gestão dos serviços postais e de telecomunicações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.1,Serviço postal (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.2,Serviço de radiofrequência (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.3,Serviço de telex (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.4,Serviço de telefonia. Serviço de fax (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073.32,Registro de ligações (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),073.32,Registro de ligações (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073.31,Transferência de propriedade ou titularidade (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),073.31,Transferência de propriedade ou titularidade (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073.33,Divulgação de listas telefônicas internas (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),073.33,Divulgação de listas telefônicas internas (Serviço de telefonia. Serviço de fax / Autorização e controle de uso),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.5,"Serviço de transmissão de dados, voz e imagem (Contratação de prestação de serviços)",018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073.4,"Serviço de transmissão de dados, voz e imagem (Autorização e controle de uso)",073.4,"Serviço de transmissão de dados, voz e imagem (Autorização e controle de uso)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.11,Uniformização do entendimento jurídico (Orientação técnica e normativa / Assessoramento jurídico),004.11,Uniformização do entendimento jurídico (Orientação técnica e normativa / Assessoramento jurídico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.12,Análise dos instrumentos administrativos (Orientação técnica e normativa / Assessoramento jurídico),004.12,Análise dos instrumentos administrativos (Orientação técnica e normativa / Assessoramento jurídico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.21,Representação judicial (Atuação em contencioso / Assessoramento jurídico),004.21,Representação judicial (Atuação em contencioso / Assessoramento jurídico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.22,Representação extrajudicial (Atuação em contencioso / Assessoramento jurídico),004.22,Representação extrajudicial (Atuação em contencioso / Assessoramento jurídico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Administração de atividades acessórias,900,Administração de atividades acessórias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910.01,Normatização. Regulamentação (Gestão de eventos),910.01,Normatização. Regulamentação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Planejamento e programação (Gestão de eventos),911,Planejamento e programação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Divulgação (Gestão de eventos),912,Divulgação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Inscrição e controle de frequência (Gestão de eventos),913,Inscrição e controle de frequência (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Emissão de certificados (Gestão de eventos),914,Emissão de certificados (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Avaliação dos resultados (Gestão de eventos),915,Avaliação dos resultados (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"Habilitação, julgamento e recursos (Gestão de eventos)",916,"Habilitação, julgamento e recursos (Gestão de eventos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Premiação (Gestão de eventos),917,Premiação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Contratação de prestação de serviços (Gestão de eventos),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,Participação em eventos promovidos e realizados por outras instituições (Outras ações referentes à gestão de eventos),919.1,Participação em eventos promovidos e realizados por outras instituições (Outras ações referentes à gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910.01,Normatização. Regulamentação (Gestão de eventos),910.01,Normatização. Regulamentação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Planejamento e programação (Gestão de eventos),911,Planejamento e programação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Divulgação (Gestão de eventos),912,Divulgação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Inscrição e controle de frequência (Gestão de eventos),913,Inscrição e controle de frequência (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Emissão de certificados (Gestão de eventos),914,Emissão de certificados (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Avaliação dos resultados (Gestão de eventos),915,Avaliação dos resultados (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"Habilitação, julgamento e recursos (Gestão de eventos)",916,"Habilitação, julgamento e recursos (Gestão de eventos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Premiação (Gestão de eventos),917,Premiação (Gestão de eventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920.01,Normatização. Regulamentação (Promoção de visitas),920.01,Normatização. Regulamentação (Promoção de visitas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Programação de visitas (Promoção de visitas),921,Programação de visitas (Promoção de visitas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Controle de visitas e visitantes (Promoção de visitas),922,Controle de visitas e visitantes (Promoção de visitas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Outras ações referentes à administração de atividades acessórias,990,Outras ações referentes à administração de atividades acessórias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Gestão de comunicações eventuais,991,Gestão de comunicações eventuais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,"Relacionamento com associações culturais, de amigos e de servidores",992,"Relacionamento com associações culturais, de amigos e de servidores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Informações iguais ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sugerir Equivalência da 47 pra 174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excluir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
