De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.12,Inscrição e frequência (Promoção de cursos pelo órgão e entidade),024.12,Inscrição e frequência (Promoção de cursos pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.13,Avaliação e resultados (Promoção de cursos pelo órgão e entidade),024.13,Avaliação e resultados (Promoção de cursos pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.2,Participação em cursos promovidos por outros órgãos e entidades,024.2,Participação em cursos promovidos por outros órgãos e entidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.3,Promoção de estágios pelo órgão e entidade,024.3,Promoção de estágios pelo órgão e entidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.31,Programação (Promoção de estágios pelo órgão e entidade),024.31,Programação (Promoção de estágios pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.32,Inscrição e frequência (Promoção de estágios pelo órgão e entidade),024.32,Inscrição e frequência (Promoção de estágios pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.33,Avaliação e resultados (Promoção de estágios pelo órgão e entidade),024.33,Avaliação e resultados (Promoção de estágios pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.51,Relação com instituições de ensino e agentes de integração (Concessão de estágios e bolsas para estudantes),024.51,Relação com instituições de ensino e agentes de integração (Concessão de estágios e bolsas para estudantes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.52,Plano de estágio (Concessão de estágios e bolsas para estudantes),024.52,Plano de estágio (Concessão de estágios e bolsas para estudantes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.4,Participação em estágios promovidos por outros órgãos e entidades,024.4,Participação em estágios promovidos por outros órgãos e entidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.02,Implementação das políticas de pessoal,020.02,Implementação das políticas de pessoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.021,Planejamento da força de trabalho. Previsão de pessoal,020.021,Planejamento da força de trabalho. Previsão de pessoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.022,"Criação, extinção, classificação, transformação e transposição de cargos e de carreiras",020.022,"Criação, extinção, classificação, transformação e transposição de cargos e de carreiras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.63,Promoção e progressão funcional (Avaliação de desempenho),022.63,Promoção e progressão funcional (Avaliação de desempenho),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.12,Reestruturação e alteração salarial (Pagamento de vencimentos. Remunerações. Salários. Proventos),023.12,Reestruturação e alteração salarial (Pagamento de vencimentos. Remunerações. Salários. Proventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.2,Movimentação de pessoal,022.2,Movimentação de pessoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.1,Provimento de cargo público,022.1,Provimento de cargo público,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.7,Vacância,022.7,Vacância,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.21,"Lotação, exercício e permuta",022.21,"Lotação, exercício e permuta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.3,Remoção,022.3,Remoção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
